epoch,training_loss,validation_loss,b
0,34.21625272486472,34.20022211457439,0.01
1,32.66867427078351,34.28447765091507,0.01
2,34.17585187944578,32.92538156296625,0.01
3,34.106315095357864,33.06077108168785,0.01
4,33.89848669673169,30.80480848227537,0.01
5,32.96415832253187,31.008623824710973,0.01
6,33.701561093933904,32.26935494970926,0.01
7,30.154478907967512,32.3273871221583,0.01
8,32.453186860326255,29.36102236882996,0.01
9,32.11189970033634,29.51541036978069,0.01
10,30.76307367585467,30.5414791675574,0.01
11,30.5058284993086,30.545274876527884,0.01
12,32.47660054917187,30.84294831443538,0.01
13,29.968745907566458,31.14317730929188,0.01
14,31.727007047277972,28.51291686728386,0.01
15,32.10116784525156,28.015698964426957,0.01
16,32.12164466847125,29.960937264054078,0.01
17,30.117547220411634,30.076199430710425,0.01
18,31.68534340131761,29.165064003589215,0.01
19,32.13142721924725,29.44506795234525,0.01
20,29.596504086874,28.316834925734256,0.01
21,31.80070030357418,28.412163530494713,0.01
22,32.01581371808586,28.889111134628262,0.01
23,30.980892898535398,29.285852903886926,0.01
24,29.222475628523554,27.99892277814223,0.01
25,30.69954069003754,28.089334753739156,0.01
26,30.811273244875935,28.415428504223467,0.01
27,30.415465842037047,28.274137696608694,0.01
28,29.286704176317098,27.952079976061867,0.01
29,30.372825033303165,27.50890640399801,0.01
30,30.777184179209463,27.454812994054784,0.01
31,30.589047638640725,27.778973598147434,0.01
32,28.044935262769393,28.02591447593477,0.01
33,30.714309921331985,27.87718791039462,0.01
34,30.646676387359772,26.74680436961734,0.01
35,28.730643564464003,26.395218639356827,0.01
36,30.66690550087286,27.747700225262868,0.01
37,30.913034273778134,27.30080280394443,0.01
38,29.59937905566744,27.22503092253123,0.01
39,28.573531070462042,26.666858359034187,0.01
40,30.47026649080072,26.65451941363242,0.01
41,28.676545416706915,26.436960123430104,0.01
42,27.481388018129348,27.233370736364744,0.01
43,28.767832034821605,27.40852933296719,0.01
44,29.407445105455505,27.06945004756562,0.01
45,29.24134864664054,27.317928786074546,0.01
46,28.34778849846674,26.6047897044187,0.01
47,29.339892895633763,26.517903077160888,0.01
48,29.415520976203187,26.71047360047313,0.01
49,27.863382949194886,26.195416708349445,0.01
50,28.041972083980095,27.292733322677364,0.01
51,29.63881300285332,26.88552726023136,0.01
52,28.87307427301933,27.493594594324488,0.01
53,27.61502483265284,27.132882240466202,0.01
54,29.24344822354066,27.220194607597044,0.01
55,29.51780618093619,26.928772483033214,0.01
56,28.095900382988525,26.638870258403564,0.01
57,29.022090998027,26.390811784184695,0.01
58,28.57710075454449,26.67607274429433,0.01
59,27.052274627356777,26.61085132906938,0.01
60,28.39609199069909,27.654451137507216,0.01
61,27.83326331072835,27.826421916856066,0.01
62,28.12955900784173,28.373182848494427,0.01
63,27.549398033336164,28.634031477406204,0.01
64,28.45809677071368,28.664492953969653,0.01
65,28.396244143999414,28.972371625468213,0.01
66,27.421957811059407,28.478564168507404,0.01
67,28.325652890956576,28.824840629864983,0.01
68,28.37713631599675,27.613780172182505,0.01
69,26.929023302371636,27.89634173193767,0.01
70,27.40951419452467,27.447595306228507,0.01
71,29.027324142770393,26.858126103041723,0.01
72,27.854467223298457,29.18224997073969,0.01
73,27.63689726924943,29.163758788166167,0.01
74,28.68896066400415,30.247950021788462,0.01
75,28.045580481781,30.381633995890013,0.01
76,28.035157075210968,30.863846672126815,0.01
77,28.353070522096786,31.056450338877273,0.01
78,27.14760864449881,31.233124972793828,0.01
79,27.5257268508761,31.448060250870252,0.01
80,28.118902499286236,31.143958107561247,0.01
81,26.922705856182233,31.361522471191982,0.01
82,26.88314994744854,30.115593406592765,0.01
83,27.44956594564619,30.288966878509026,0.01
84,27.476443242659162,31.894405203937865,0.01
85,26.72755128837133,31.946444428176303,0.01
86,26.283642261514267,31.669354378714008,0.01
87,27.68847795028911,31.42427995907455,0.01
88,26.42644012328025,31.036384346993753,0.01
89,27.01893504871684,30.958758584343222,0.01
90,27.305363525451217,31.95058423806395,0.01
91,27.56792113238664,31.83328743808332,0.01
92,26.99457682807366,29.895632887371285,0.01
93,27.604706305239628,29.269767010416682,0.01
94,27.13425637943423,31.12221302357574,0.01
95,26.756648727943187,31.16403669338937,0.01
96,28.15888720693654,29.171847134589328,0.01
97,26.712213812141925,29.361521839424757,0.01
98,26.89561857700637,30.36211959695431,0.01
99,27.925249303579672,30.22839538891119,0.01
100,26.790146514504396,28.738785329796297,0.01
101,27.569508554154083,28.928686366528527,0.01
