epoch,training_loss,validation_loss,b
0,29.611972787918322,29.628791432641425,0.0001
1,27.7678378446097,29.641584552381246,0.0001
2,33.186908563730135,29.551795084675987,0.0001
3,25.780996314705803,29.55984979679293,0.0001
4,29.293693818924115,29.153751817934115,0.0001
5,29.533912119293785,29.124993315264746,0.0001
6,29.5873197042145,28.12512191933613,0.0001
7,29.64409460396251,28.013831163368184,0.0001
8,29.52928301222056,26.147357204730657,0.0001
9,29.505056835468583,26.413571363762355,0.0001
10,29.1288385524225,24.96070442294593,0.0001
11,27.889002431805185,24.87871043950075,0.0001
12,28.85074882752437,26.436605655094546,0.0001
13,25.928460968488295,26.441833014645418,0.0001
14,27.158946696139296,25.443188736118064,0.0001
15,28.070971903936368,25.336439097371326,0.0001
16,28.01154354750883,23.215445896575357,0.0001
17,27.41577872503432,22.761262189960853,0.0001
18,25.816744662922083,25.036531033921904,0.0001
19,28.132746583608142,25.169589843683763,0.0001
20,26.35351522158992,23.534164519268234,0.0001
21,25.8766973929786,23.190632723149864,0.0001
22,27.483234969205032,23.577013119141867,0.0001
23,27.430273299369976,23.351624659940512,0.0001
24,26.684288547470356,23.368671448937892,0.0001
25,25.003687242705293,23.378744001365895,0.0001
26,26.912048693832965,22.60233873887401,0.0001
27,26.645972434456848,22.49732139535139,0.0001
28,24.240058468554256,22.85554669011325,0.0001
29,25.499359888653302,22.634566349998913,0.0001
30,26.375307804697115,22.504799418212258,0.0001
31,26.15123184237712,22.21445179099705,0.0001
32,25.056394003346185,22.05823564424281,0.0001
33,24.894097348681704,22.04058917776918,0.0001
34,26.305195041529164,22.13820729939795,0.0001
35,25.497751129916065,22.199701551564857,0.0001
36,23.530811364019694,21.853706330101733,0.0001
37,25.619052297761048,21.70269869144739,0.0001
38,25.679343908900087,21.985749488428603,0.0001
39,24.999059639605157,21.73892346320199,0.0001
40,23.167973675772718,21.98710947769924,0.0001
41,25.214763026762515,21.755783632624794,0.0001
42,25.136924983985548,21.83512461552164,0.0001
43,23.813410537627174,21.636550711755227,0.0001
44,24.176454292744527,21.73071807622657,0.0001
45,24.970448576441,21.589993441672206,0.0001
46,24.61510564311165,21.68823523267883,0.0001
47,23.214385042120252,21.582087334728065,0.0001
48,24.31158903157167,21.665657749888023,0.0001
49,24.851245770994815,21.555384163806444,0.0001
50,23.602129050640862,21.65365700871892,0.0001
51,23.05192577354096,21.521180474139438,0.0001
