epoch,training_loss,validation_loss,b
0,38.138765659015505,38.122596392507816,0.5
1,38.08600322106903,38.206885954129255,0.5
2,34.85317024619385,37.440795987125206,0.5
3,41.740610254044554,37.543791674346785,0.5
4,37.041837268442414,38.03349333883741,0.5
5,37.470445328431516,38.11948376789227,0.5
6,38.00588955059318,33.956612660685195,0.5
7,38.20997323156291,34.06481898582164,0.5
8,38.09803399500714,35.71989733751265,0.5
9,38.080354350669374,35.806044514951914,0.5
10,38.05601654039544,36.273690506399404,0.5
11,37.87744406714981,36.344181323342205,0.5
12,37.35699545847594,36.12379252328681,0.5
13,35.319555017623955,36.26733342903346,0.5
14,37.610968822224194,35.29669347335854,0.5
15,34.16948202154447,35.34405853649451,0.5
16,36.87653191107773,32.67466280431538,0.5
17,37.431114604979044,32.740684578761076,0.5
18,37.29220842051557,32.66808218746553,0.5
19,36.951503677973385,32.72269608789286,0.5
20,35.80249783460401,33.943920235231985,0.5
21,35.228477362280515,34.019338992629564,0.5
22,37.056487854313986,33.13310743762916,0.5
23,34.37268555915808,33.19966308727616,0.5
24,35.199960042916686,31.04072754564989,0.5
25,36.302360658095125,30.8928647596942,0.5
26,36.44662813676021,32.558142218371025,0.5
27,36.15497255522631,32.514536881673585,0.5
28,34.50556884443423,31.555738969570548,0.5
29,34.80565033223987,31.717134283375376,0.5
30,36.183832663499075,31.339563580251475,0.5
31,35.11789186338114,31.506313955927133,0.5
32,32.68165281312873,31.296588038113118,0.5
33,35.0818743523838,30.99484167602321,0.5
34,35.59241662813415,30.599087502793964,0.5
35,35.30942667887808,30.246034140447225,0.5
36,33.98436465965405,30.985455809803362,0.5
37,33.37390152301186,31.082334681342427,0.5
38,35.05109833939088,30.520291396879426,0.5
39,34.81046577529478,30.400827831301317,0.5
40,32.63964327595387,30.57221927425006,0.5
41,33.58178697372454,30.232075840730367,0.5
42,34.77104804786061,30.439696956522372,0.5
43,34.45649663887094,30.11399750306168,0.5
44,33.188154942807586,30.423182044943267,0.5
45,32.56585489496478,30.2754104127598,0.5
46,34.26725105370567,30.429386577090106,0.5
47,34.116986621194116,30.309088409669094,0.5
48,31.356819442490448,30.343193029893165,0.5
49,33.325701734383685,30.105432932672645,0.5
50,34.03765459787332,30.3392239957897,0.5
51,33.54795020371391,30.025210872445594,0.5
52,31.686906655017655,30.325168324613685,0.5
53,32.68448967376287,30.004719167010222,0.5
54,33.566434749903955,30.30224781345367,0.5
55,33.04416151258203,30.01122010390179,0.5
56,30.671759700558855,30.29428308158776,0.5
57,32.89062209987084,30.0332736785505,0.5
58,33.18700043474964,30.286025180785675,0.5
59,32.583547005125155,30.029186743659913,0.5
60,30.933948709538353,30.273399499909953,0.5
61,32.71725825133506,29.999924900520085,0.5
62,32.943428007621755,30.262562583374546,0.5
63,30.992594936448874,29.966090889877893,0.5
64,31.9256185831965,30.25441232223965,0.5
65,32.64445956118634,29.937232923074017,0.5
66,32.02892212617709,30.246543898184512,0.5
67,30.549788753395436,29.915950616395513,0.5
68,31.714301233136574,30.238513744950414,0.5
69,32.12534133562364,29.90239164755532,0.5
70,31.536674798246537,30.231293573156766,0.5
71,30.36312546771332,29.89618472116006,0.5
72,31.975652170201705,30.225463641807575,0.5
73,31.682933540685696,29.89448948770366,0.5
74,30.771927665141366,30.220607742762894,0.5
75,31.334301417748478,29.892330336055142,0.5
76,31.762567099637394,30.215794258958958,0.5
77,31.027364780647957,29.886935704092007,0.5
78,30.339003594477372,30.210665117864615,0.5
79,31.634195374257626,29.87804572078205,0.5
80,31.299888054100297,30.205564019167536,0.5
81,30.037822350015634,29.867081563062523,0.5
82,30.959099334524964,30.20086660091174,0.5
83,30.981346016087866,29.855728388291546,0.5
84,30.42329572465841,30.196655756117924,0.5
85,30.54543196530128,29.845061336352398,0.5
86,30.618607345805334,30.192822043616655,0.5
87,30.720184808680166,29.83524128451851,0.5
88,29.926857062054914,30.189175322311897,0.5
89,30.532426660989326,29.82603590223493,0.5
90,30.93564152477279,30.185608656896015,0.5
91,30.142974166145297,29.817249996712537,0.5
92,30.409919223779784,30.182150678669405,0.5
93,30.523211215798472,29.808717856757553,0.5
94,30.52814836655244,30.178861067017852,0.5
95,30.443407503375838,29.800439382426394,0.5
96,30.53081525484448,30.175754367336648,0.5
97,30.465291644057647,29.79238415068281,0.5
98,29.90046566358605,30.172816968310844,0.5
99,30.628945113975536,29.784493276150965,0.5
100,30.56792485454875,30.17001306031571,0.5
101,29.907740024428104,29.77673893197782,0.5
