epoch,training_loss,validation_loss,b
0,19.694685035417237,19.947780815575367,1e-05
1,27.308956832876884,20.036079670188222,1e-05
2,26.494619005454638,25.897682394767898,1e-05
3,26.920386527869354,25.899275725889467,1e-05
4,24.648195391148086,22.66426248536102,1e-05
5,25.935893976835104,22.36726476143106,1e-05
6,25.878526682317673,23.817614017453927,1e-05
7,24.881107225930844,23.5499236263495,1e-05
8,23.628930408066417,24.241351519056906,1e-05
9,25.97734657507515,24.159583606650227,1e-05
10,22.7269620001927,23.40671882698738,1e-05
11,24.60289188666784,23.717561020781446,1e-05
12,24.92399203810247,21.320517117401383,1e-05
13,24.996397525214416,20.934833189071554,1e-05
14,23.074018478991984,22.67468177045826,1e-05
15,23.370553397107987,22.558004690255427,1e-05
16,25.023170479465605,22.55663970601868,1e-05
17,24.066681723540878,22.884170035233424,1e-05
18,23.790063572739857,20.61370093969441,1e-05
19,24.406673245892364,20.516324478351315,1e-05
20,24.407228468072695,21.731545667571528,1e-05
21,23.419105722093192,21.69064854502497,1e-05
22,22.075484065635045,21.160478718035396,1e-05
23,22.335278760791116,21.755982897187902,1e-05
24,24.065957970665202,20.335010067053357,1e-05
25,23.369014585002848,20.5850063748822,1e-05
26,21.640948035481653,21.049558251697693,1e-05
27,22.8745872063087,21.3106203373678,1e-05
28,24.184713454178667,19.889572749191178,1e-05
29,23.498811144178152,20.198752617310717,1e-05
30,21.46907644802856,20.84350873532489,1e-05
31,22.857389908660515,21.01193749959226,1e-05
32,23.94561645994493,20.062489129359115,1e-05
33,21.159965391164153,20.297858624295568,1e-05
34,21.24971671610385,20.32943654539271,1e-05
35,22.58326759987059,20.46101531960947,1e-05
36,22.62009475867752,19.98435359836601,1e-05
37,21.338033624424494,20.26741030253209,1e-05
38,21.07482641277195,19.9615572575161,1e-05
39,22.17706092752951,20.056774546339646,1e-05
40,22.789892368013327,20.347910990648494,1e-05
41,21.8537855979905,20.3692863199356,1e-05
42,20.9974282898059,19.606009886242354,1e-05
43,22.880745291579583,19.829697152984505,1e-05
44,22.594553636655657,20.16377845676636,1e-05
45,20.54579315175076,20.288152870471322,1e-05
46,21.682444837493303,20.01082779443606,1e-05
